Date,Time,TOTALES,DEFECTOS,PEDIDOS,#ORDEN,CLIENTE,ESTILO
2024-01-09,07:19:09,2028,8,2028,8101,GILDAN,BOX 64 (KW)
2024-01-09,07:51:10,3047,3,3047,8100,GILDAN,BOX 64 (GW)
2024-01-09,08:48:55,4093,0,4088,8099,GILDAN,BOX 63 (KW)
2024-01-09,09:20:29,2916,2,2916,8099,GILDAN,BOX 63 (GW)
2024-01-09,09:46:54,2015,1,2015,8097,GILDAN,BOX 62 (KW)
2024-01-09,10:09:39,909,4,909,8170,FRUIT,K13.20C09
2024-01-09,10:34:22,1998,3,1998,8171,FRUIT,K13.20D10
2024-01-09,11:04:55,1984,5,1984,8172,FRUIT,K13.20D13
2024-01-09,12:13:29,2019,7,2000,8173,FRUIT,K13.20G10
2024-01-09,12:48:26,2997,5,2996,8174,FRUIT,K13.24K13
2024-01-09,13:11:34,503,3,503,8175,FRUIT,K13.20G17
2024-01-09,13:30:17,1006,6,1006,8176,FRUIT,K13.24G13
2024-01-09,13:57:32,1013,8,1013,8177,FRUIT,J7D.20G13
2024-01-09,14:20:24,1019,8,1019,8178,FRUIT,J7D.24G13
2024-01-09,15:01:03,839,0,838,8179,FRUIT,LHU.20G13
