Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
10/30/2023,7:59:43,3045,5,3000,5732,INALMA,TJI-027
10/30/2023,9:10:05,3080,5,3000,5728,INALMA,TAJADA-BB040
10/30/2023,9:28:28,1065,5,1000,5729,INALMA,BB-020
10/30/2023,10:01:33,2053,5,2000,5730,INALMA,SB-071
10/30/2023,10:27:23,1020,4,1000,5731,INALMA,SB-034
10/30/2023,10:50:38,1031,15,1000,5733,INALMA,TJBI-200
10/30/2023,11:09:56,1068,8,1000,5734,INALMA,YUCA-20LBS
10/30/2023,12:10:57,1026,6,1000,5737,INALMA,TJ-018
10/30/2023,12:32:17,1030,5,1000,5740,INALMA,TJ-CUBITOS
10/30/2023,13:21:38,2083,0,20,5752,INALMA,GOYA-9392
10/30/2023,13:46:44,1069,9,1000,5753,INALMA,GOYA-9135
10/30/2023,14:37:54,4046,6,4000,5754,INALMA,GOYA-9100
10/30/2023,15:51:39,6132,11,6000,5741,INALMA,GOYA-9098
