Date,Time,TOTALES,DEFECTOS,PEDIDOS,#ORDEN,CLIENTE,ESTILO
2023-11-16,12:13:41,3046,9,3046,6509,ELCATEX,SM02
2023-11-16,12:15:10,3046,9,3000,6516,ELCATEX,SM-09
2023-11-16,12:37:31,1998,3,1998,6509,ELCATEX,SM02
2023-11-16,13:24:51,5084,5,5000,6511,ELCATEX,SM-04
2023-11-16,13:56:16,3023,4,3000,6508,ELCATEX,SM-01
11/17/2023,7:29:57,2616,3,2000,6515,ELCATEX,SM-08
11/17/2023,7:42:31,4033,2,2017,6514,elcatex,sm-07
11/17/2023,7:42:43,4033,2,2000,6514,elcatex,sm-07
11/20/2023,7:53:56,6036,0,6000,6608,GILDAN,BOX-79
11/20/2023,9:00:15,2043,0,2000,6695,FRUIT,20G09.00
11/20/2023,9:24:35,1979,0,1979,6618,INALMA,TJYI101 20 L
11/20/2023,11:09:08,8092,3,8000,6618,INALMA,TJYI101 20 L
11/20/2023,11:09:43,8092,3,8092,6618,INALMA,TJYI101 20 L
11/20/2023,11:12:54,8094,3,1100,6629,E.SUN,SHAKA
11/20/2023,12:28:37,1497,3,1497,36630,E.SUN,SHAKA
11/20/2023,13:24:35,992,3,992,6683,ONTEX,18X15X11X.
11/20/2023,13:57:25,2135,3,2135,6684,ONTEX,21X15X11X25
2023-11-21,07:10:07,995,6,995,6685,ontex,24x15x125x12
2023-11-21,07:38:49,2026,3,2026,6646,GILDAN,BOX-72
2023-11-21,08:05:15,1513,3,1513,6709,GILDAN,BOX-65
2023-11-21,08:19:24,1260,3,1260,6708,GILDAN,BOX-65
2023-11-21,09:18:03,2033,4,2000,6692,GILDAN,BOX-64
2023-11-21,09:45:21,2976,4,2976,6691,GIDAN,BOX-64
2023-11-21,12:57:54,6014,3,2063,6731,FRUIT,20D10.0.0
2023-11-21,13:48:47,1995,5,1995,6735,FRUIT,20G13.0.0
2023-11-21,14:43:49,5272,5,5272,6716,GILDAN,BOX-24
2023-11-22,07:20:58,1992,9,1992,6672,ELCATEX,SM-10
2023-11-22,08:11:11,4086,7,4086,6671,ELCATEX,SM-09
2023-11-22,09:59:10,7965,80,7965,6647,DELPHI,09004200
2023-11-22,10:56:07,5076,4,5076,6648,DELPHI,C0018812
2023-11-22,12:15:01,3034,4,3034,6725,RKI,F.327
2023-11-22,12:54:10,3015,4,3015,6726,RKI,F-3045
2023-11-22,13:33:54,3036,2,3036,6727,RKI,F-3046
2023-11-22,14:03:52,2011,2,2011,6728,RKI,F-3048
11/23/2023,7:26:06,1998,9,1998,6787,FRUIT,20D10.0.0
11/23/2023,9:41:03,9795,37,9795,6762,GILDAN,BOX-50
11/23/2023,11:18:04,10084,5,10084,6764,GILDAN,BOX-58
11/23/2023,12:38:55,3069,18,3069,6765,GILDAN,BOX-72
11/23/2023,13:07:12,2092,6,2092,6894,FRUIT,24K07.0.0
11/23/2023,13:33:58,2050,7,2050,6893,FRUIT,24G10.0.0
11/23/2023,14:10:59,3244,8,3244,6892,FRUIT,20D13.0.0
2023-11-24,07:41:34,5064,6,5064,6738,LEAR,231411
2023-11-24,08:14:25,1989,6,1989,6932,FRUIT,24G13.0.0
2023-11-24,09:02:43,2022,4,2022,6933,FRUIT,24K13.0.0
2023-11-24,09:31:06,2026,4,2000,6928,FRUIT,20D13.0.0
2023-11-24,10:00:42,1458,2,1458,6926,FRUIT,20D10.0.0
2023-11-24,11:08:45,6184,3,6184,6771,ELCATEX,29X12X12
2023-11-24,12:35:29,2771,3,2026,6813,ELCATEX,R-01
2023-11-24,13:12:02,7260,4,7260,6800,ELCATEX,SM-06
11/27/2023,8:09:02,7999,0,7999,6799,ELCATEX,SM-05
11/27/2023,9:29:54,6028,5,6028,6912,DELPHI,C0018812
11/27/2023,11:22:26,8977,11,8977,6910,DELPHI,9004200
11/27/2023,12:32:44,2055,6,2055,6987,FRUIT,20C10.0.0
11/27/2023,13:03:46,1983,4,1983,6988,FRUIT,24K17.0.0
11/27/2023,13:25:46,1033,6,1033,6959,ELCATEX,SM-10
11/27/2023,14:22:16,3031,4,3031,6958,ELCATEX,SM-09
11/27/2023,15:10:37,5072,3,5072,6955,ELCATEX,SM-06
11/27/2023,15:42:21,3034,3,3034,6950,ELCATEX,SM-01
11/27/2023,16:09:13,4068,5,1029,6957,ELCATEX,SM-08
11/27/2023,16:23:17,1029,2,1029,6956,ELCATEX,SM-07
11/27/2023,16:52:54,2076,3,2076,6949,ELCATEX,SM-0
11/29/2023,7:09:32,1018,3,1018,7017,FRUIT,24K10
11/29/2023,7:41:30,1015,3,1015,7016,FRUIT,20G13.0.0
11/29/2023,8:15:15,2050,3,2000,7015,FRUIT,24G10.0.0
11/29/2023,9:17:52,2046,10,2000,7012,FRUIT,20G09.00
11/29/2023,9:38:25,1035,4,1000,7011,FRUIT,20C09.00
11/29/2023,9:53:30,1002,2,1000,7058,FRUIT,20C10.0.0
11/29/2023,10:27:18,3046,8,3000,7059,FRUIT,20D13.0.0
11/29/2023,12:18:53,4121,28,4000,6943,GILDAN,BOX-72
11/29/2023,14:03:07,10155,34,10000,6942,GILDAN,BOX-57
2023-11-30,07:26:48,2014,12,2000,6945,GILDAN,NKA-24
2023-11-30,08:07:48,3032,8,3000,6996,RKI,F-3046
2023-11-30,09:03:03,2013,5,2000,7144,FRUIT,24G10.0.0
2023-11-30,10:09:14,7070,5,7000,6970,LEAR,231411
2023-11-30,10:49:08,1962,8,1962,7145,FRUIT,24G13.0.0
2023-11-30,12:54:37,6714,42,6714,7047,INALMA,INO-11
2023-11-30,14:53:18,12083,8,12000,7046,INALMA,TJYI101 20 L
2023-12-01,08:14:00,7888,10,7888,7045,INALMA,PICARD
2023-12-01,09:30:31,4527,8,4400,7044,INALMA,IN012
2023-12-07,11:13:44,8473,5,8473,7267,LEAR,231411
2023-12-07,13:02:40,6087,4,6000,7175,DELPHI,09004200
2023-12-07,13:54:51,4032,5,4000,7176,DELPHI,C0018812
2023-12-07,15:15:39,2032,2,2000,7424,FRUIT,20G10.0.0
2023-12-08,08:41:08,9614,10,9600,7414,ELCATEX,29X12X12
2023-12-08,09:06:13,2024,4,2000,7415,ELCATEX,21X15X16
2023-12-08,09:32:11,1420,3,1420,7351,EMPIRE,MANITO
2023-12-08,09:32:20,1420,3,1400,7351,EMPIRE,MANITO
2023-12-08,10:55:28,8576,3,8576,7351,EMPIRE,PETRI
2023-12-08,11:21:03,1024,12,1000,7485,FRUIT,24G17
2023-12-08,12:34:09,2032,5,2000,7484,FRUIT,24G13
2023-12-08,13:23:26,2019,4,2000,7482,FRUIT,20G13.0.0
2023-12-08,13:36:19,1031,3,1000,7481,FRUIT,24G13.0.0
2023-12-08,13:58:20,1034,4,1000,7480,FRUIT,20G13.0.0
2023-12-08,14:26:46,2041,5,2000,7479,FRUIT,24K13.0.0
2023-12-08,15:04:13,2044,3,2000,7478,FRUIT,20G07.0.0
2023-12-11,07:25:22,1158,4,1158,7469,AVENT,70113740
2023-12-11,08:05:59,2021,3,2000,7470,AVENT,70109048
