Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
10/16/2023,8:20:17,167.0,1.0,150.0,5363.0,FRUIT,K13-24K09
10/16/2023,9:11:46,4053.0,10.0,4000.0,5108.0,INALMA,GOYA-9047
10/16/2023,9:50:13,1989.0,8.0,1989.0,5107.0,INALMA,GOYA-9093
10/16/2023,10:14:52,1072.0,5.0,1000.0,5109.0,INALMA,GOYA-9105
10/16/2023,10:45:42,2082.0,10.0,2000.0,5110.0,INALMA,GOYA-9100
10/16/2023,11:19:09,2088.0,8.0,2000.0,5105.0,INALMA,GOYA-9102
10/16/2023,12:35:55,5040.0,10.0,5000.0,5106.0,INALMA,GOYA-9101
10/16/2023,13:29:34,4427.0,5.0,4427.0,5103.0,INALMA,GOYA-9098
10/16/2023,15:46:11,17517.0,15.0,17500.0,5104.0,INALMA,GOYA-9046
10/16/2023,16:47:41,5516.0,6.0,5450.0,5164.0,AQUAFINCA,33180050
10/17/2023,7:37:20,3946.0,6.0,3946.0,5284.0,INHMESA,GRAG-0650E
10/17/2023,8:02:06,1488.0,2.0,1488.0,5285.0,INHMESA,GRAG-0425
10/17/2023,8:15:38,500.0,3.0,500.0,5286.0,INHMESA,GRAG-0475
10/17/2023,8:47:28,492.0,2.0,492.0,5287.0,INHMESA,GRAG-O900
10/17/2023,9:00:25,502.0,2.0,500.0,5288.0,INHMESA,GRAG-1100
10/17/2023,9:26:43,516.0,16.0,500.0,5289.0,INHMESA,GRAP-0575-GS
10/17/2023,9:47:40,1013.0,3.0,1000.0,5290.0,INHMESA,GRAG-O425-GS
10/17/2023,10:16:38,2012.0,8.0,2000.0,5291.0,INHMESA,GRAG-O475-GS
10/17/2023,10:47:30,2010.0,6.0,2000.0,5292.0,INHMESA,GRAG-0575
10/17/2023,11:03:22,492.0,2.0,492.0,5293.0,INHMESA,GRAG-0625-GS
10/17/2023,11:21:47,1003.0,3.0,1000.0,5294.0,INHMESA,GRAG-O750-GS
10/17/2023,12:24:45,900.0,3.0,900.0,5295.0,INHMESA,GRAG-0900-GS
10/17/2023,13:38:54,5180.0,30.0,5000.0,5410.0,FRUIT,K13-07606
10/17/2023,13:57:48,513.0,3.0,500.0,5296.0,PTS,1040037
10/17/2023,15:02:25,966.0,6.0,966.0,5297.0,PTS,1040054
10/17/2023,16:54:54,3261.0,21.0,3261.0,5298.0,PTS,1040034
10/18/2023,8:18:18,4655.0,50.0,4655.0,5298.0,PTS,1040034
10/18/2023,9:22:38,4043.0,33.0,4000.0,5383.0,INALMA,TJBI-200
10/18/2023,9:57:55,2087.0,15.0,2000.0,5384.0,INALMA,YUCA-20LBS
10/18/2023,10:34:02,1567.0,17.0,1500.0,5385.0,INALMA,JULIANAS
10/18/2023,10:44:39,75.0,2.0,50.0,5436.0,FRUIT,K13.16A09
10/18/2023,11:01:46,903.0,3.0,900.0,5283.0,BAY ISLAND,12X10X4
10/18/2023,11:16:18,215.0,3.0,200.0,5403.0,GILDAN,BOX-11
10/18/2023,11:37:22,530.0,4.0,500.0,5404.0,GILDAN,BOX-73
10/18/2023,11:55:22,527.0,3.0,500.0,5405.0,GILDAN,BOX-76
